actuator_saturation.l_ankle_act,actuator_saturation.l_toe_act,actuator_saturation.r_ankle_act,actuator_saturation.r_toe_act,bilateral_windows,body_ground_contact,both_feet_sensed,command_spectrum.peak_hz,command_spectrum.power_above_10hz,command_spectrum.rms,diagnostic_intervention,digit_sensors_with_load,duration_s,final_drift_m,full_horizon,max_ground_force_N,max_self_contact_N,max_sensor_error_N,obstacle_contact_samples,pad_load_fraction,pelvis_angular_velocity_rms,physics_bilateral,physics_bilateral_20pct_weight,physics_samples,physics_unsupported,positive_actuator_work_J,reward,seed,sole_pitch_spectrum.peak_hz,sole_pitch_spectrum.power_above_10hz,sole_pitch_spectrum.rms,support_switches_per_s,termination,unsupported_windows,variant
0.28625,0.649125,0.180375,0.43475,0.0225,False,True,2.6875,0.010004973351738299,0.07988043786346233,True,[],20.0,0.3689673214712673,True,19.95104179490749,0.0,0.0,0,0.0007404379143583856,0.8036773547996283,0.1035,0.083875,8000,0.00025,36.93036200524683,2770.9440502690827,4100,2.6875,0.04951829187982366,0.05471709372276953,7.125,horizon,0.00625,ankles_feet_lp10
0.281625,0.6385,0.172375,0.589375,0.03,False,True,2.8125,0.011046739623092256,0.08332439666655218,True,[],20.0,0.21613375787661268,True,20.93984772171524,0.0,0.0,0,0.0009453253399269776,0.8275391376878865,0.107875,0.08325,8000,0.001625,38.02950326592752,2790.1589800232978,4101,2.875,0.056255307235924916,0.05674299144120597,7.4375,horizon,0.0125,ankles_feet_lp10
0.2845,0.638375,0.158,0.503,0.0225,False,True,2.6875,0.0108665226851,0.08161535604876981,True,[],20.0,0.35147265138271644,True,20.492998544286813,0.0,0.0,0,0.0006554379667662632,0.813795758608902,0.104375,0.08575,8000,0.000625,36.859341247203524,2780.2843431233846,4102,0.3125,0.042158152344716544,0.05955619932642486,7.125,horizon,0.0075,ankles_feet_lp10
0.300625,0.682,0.15525,0.429875,0.02,False,True,2.625,0.010872186335593477,0.0775955102597768,True,[],20.0,0.4038240551500769,True,21.033692563459148,0.0,0.0,0,0.0005760034121170589,0.7807895697251551,0.100875,0.079875,8000,0.000125,35.59226924592408,2739.5979164218097,4103,2.5625,0.04423138372329525,0.05389666442418685,7.9375,horizon,0.0025,ankles_feet_lp10
0.06875,0.584375,0.067875,0.66225,0.02625,False,True,2.3125,0.0058902093716076236,0.0898575151885735,True,[],20.0,0.14469888278542084,True,20.89838360710768,0.0,0.0,0,0.0004295738336941588,0.5697797265514929,0.09475,0.071,8000,0.000375,11.781090931896541,2818.4047664869927,4100,2.3125,0.03388438446216862,0.06231805737788519,6.75,horizon,0.00375,all_lp10
0.085,0.660125,0.085625,0.579125,0.01875,False,True,2.375,0.005772904686676144,0.08810199188236371,True,[],20.0,0.09147119068104093,True,20.227363090221115,0.0,0.0,0,0.002186744935293496,0.5647069511515516,0.085,0.064125,8000,0.0005,11.614003250218849,2844.9496171511796,4101,2.3125,0.026777304655837796,0.06343669234093398,5.875,horizon,0.0025,all_lp10
0.083625,0.651875,0.10975,0.54925,0.01,False,True,2.125,0.006997999671187972,0.08762191391013395,True,[],20.0,0.1232812515308855,True,21.22507076622296,0.0,0.0,0,0.001091071712953813,0.567441443460672,0.0805,0.061,8000,0.00025,11.52006781360013,2826.3841376438527,4102,2.125,0.022709152576789907,0.06220018157712391,4.9375,horizon,0.00125,all_lp10
0.080125,0.560375,0.124625,0.641,0.0225,False,True,2.375,0.005211595703356326,0.09000093122956765,True,[],20.0,0.2562034201168573,True,20.915971870463803,0.0,0.0,0,0.0015509256622279503,0.5679365259385097,0.088125,0.06275,8000,0.000375,11.454044546964202,2780.1096598545937,4103,2.3125,0.02507177539530576,0.0621860939051982,5.6875,horizon,0.0025,all_lp10
,,,,,True,True,,,,True,[],0.52,0.06213080612476227,False,,,0.0,0,,,,,0,,,39.47990059811544,4100,,,,,body_contact,,all_lp5
0.05075,0.435625,0.05975,0.45075,0.025,False,True,1.875,0.001761642180374189,0.09409903647154694,True,[],20.0,0.11598074800729914,True,20.201835633097634,0.0,0.0,0,0.0004849024789340938,0.5773736524410711,0.09325,0.066875,8000,0.00075,10.105062254787196,2806.8325452300696,4101,1.875,0.012460306297515503,0.07197327482287076,5.6875,horizon,0.00625,all_lp5
