actuator_saturation.l_ankle_act,actuator_saturation.l_toe_act,actuator_saturation.r_ankle_act,actuator_saturation.r_toe_act,bilateral_windows,body_ground_contact,both_feet_sensed,case,digit_angles_deg.l_digits234_pitch,digit_angles_deg.l_digits2_pitch,digit_angles_deg.l_digits3_pitch,digit_angles_deg.l_digits4_pitch,digit_angles_deg.r_digits234_pitch,digit_angles_deg.r_digits2_pitch,digit_angles_deg.r_digits3_pitch,digit_angles_deg.r_digits4_pitch,digit_sensors_with_load,duration_s,final_drift_m,first_body_contact,first_body_contact.distance_m,first_body_contact.geom,first_body_contact.normal_force_N,first_body_contact.time_s,full_horizon,max_ground_force_N,max_self_contact_N,max_sensor_error_N,mechanism,obstacle_contact_samples,pad_load_fraction,peak_tilt_deg,pelvis_angular_velocity_rms,physics_bilateral,physics_bilateral_20pct_weight,physics_samples,physics_unsupported,positive_actuator_work_J,seed,sole_pitch_spectrum.peak_hz,sole_pitch_spectrum.power_above_10hz,sole_pitch_spectrum.rms,support_switches_per_s,termination,unsupported_windows
0.0,,0.0,,1.0,False,True,r_outer_3mm,,,,,,,,,[],20.0,0.003916976813889605,,,,,,True,10.079120393914788,0.0,0.0,fixed,8998,0.4466443904144007,2.4595264049432233,0.00036973199293265644,1.0,1.0,8000,0.0,0.0002827819914010734,4011,0.0625,8.961673897451446e-07,0.00019690408454532693,0.0,horizon,0.0
0.0,,0.0,,1.0,False,True,r_pad_3mm,,,,,,,,,[],20.0,0.006582010705113909,,,,,,True,9.811517445990319,0.0,0.0,fixed,9993,0.5750924375485518,2.0563723356717496,0.00017622351684817516,1.0,1.0,8000,0.0,5.043387880197439e-05,4010,0.0625,2.4938120905193993e-12,0.00014526614152254836,0.0,horizon,0.0
0.0,,0.0,,1.0,False,True,r_pad_3mm,,,,,,,,,[],20.0,0.006225384046855546,,,,,,True,9.812139814794744,0.0,0.0,fixed,9995,0.5982799123498638,2.0090201144477593,0.00021655053607938878,1.0,1.0,8000,0.0,7.172103619726068e-05,4011,0.0625,2.3559970537965336e-12,0.00013320118098169887,0.0,horizon,0.0
,,,,,True,True,l_middle_3mm,,,,,,,,,[],0.882,0.11947347928114527,,-0.0010605302343823994,tail_4_geom,13.529106050730139,0.8820000000000007,False,,,0.0,fixed,87,,27.428674359610504,,,,0,,,4010,,,,,body_contact,
,,,,,True,True,l_middle_3mm,,,,,,,,,[],0.902,0.11951135725855495,,-0.0014363381504837597,tail_4_geom,13.841090971382213,0.9020000000000007,False,,,0.0,fixed,87,,27.470553503723984,,,,0,,,4011,,,,,body_contact,
,,,,,True,True,l_middle_6mm,,,,,,,,,[],0.706,0.11524854777403577,,-0.0006870537053466214,tail_4_geom,13.311625246469006,0.7060000000000005,False,,,0.0,fixed,113,,27.4232366290419,,,,0,,,4010,,,,,body_contact,
,,,,,True,True,l_middle_6mm,,,,,,,,,[],0.708,0.11525110679772443,,-0.00010001190736885421,tail_4_geom,12.292541974562516,0.7080000000000005,False,,,0.0,fixed,132,,27.356372096580458,,,,0,,,4011,,,,,body_contact,
0.0,,0.0,,1.0,False,True,l_outer_3mm,,,,,,,,,[],20.0,0.0034657536660391967,,,,,,True,10.055735914730079,0.0,0.0,fixed,9845,0.4420724548383509,2.2266182878519096,0.0002849330433704376,1.0,1.0,8000,0.0,0.00020313603996176217,4010,0.0625,1.1067371920941534e-06,0.0001444840609011196,0.0625,horizon,0.0
0.0,,0.0,,1.0,False,True,l_outer_3mm,,,,,,,,,[],20.0,0.0034600335542734886,,,,,,True,10.087238423699088,0.0,0.0,fixed,9801,0.44613526901002537,3.0789471939294484,0.0003294200218716735,1.0,1.0,8000,0.0,0.0002707175784143268,4011,0.0625,1.0200083724815322e-06,0.00018255795735451301,0.0625,horizon,0.0
0.0,,0.0,,1.0,False,True,l_pad_3mm,,,,,,,,,[],20.0,0.006514424439887693,,,,,,True,9.812124050732194,0.0,0.0,fixed,9994,0.6585613271059222,2.040953900638679,0.00021715570109744135,1.0,1.0,8000,0.0,7.201688039100311e-05,4010,0.0625,3.3080433383866924e-12,0.00017044303248005559,0.0,horizon,0.0
0.0,,0.0,,1.0,False,True,l_pad_3mm,,,,,,,,,[],20.0,0.006165654247767958,,,,,,True,9.811753329949791,0.0,0.0,fixed,9994,0.6769775133721403,2.0257441230236894,0.00023577979239859317,1.0,1.0,8000,0.0,5.7631207632035816e-05,4011,0.0625,3.3387890903902846e-12,0.00014608957889842685,0.0,horizon,0.0
